ReaperBoard BOM,,,,,,,,,,
Sr. No.,Product,Name,Link,Unit Price,Quantity,Shipping,Total Price(INR),(USD),,
1,Switches,Akko V3 Lavender Purple Pro Switch (Pack of 45),https://stackskb.com/store/akko-v3-lavender-purple-pro-switch-pack-of-45/,999,2,0,1998,22.52160865,,
2,Keycaps,Cotton Candy XDA Profile Keycaps,https://stackskb.com/store/cotton-candy-xda-profile-keycaps/,"2,300",1,0,2300,25.92577572,,
3,Stabilizers,Durock Clear Screw-In Stabilizers V2,https://stackskb.com/store/durock-smokey-screw-in-stabilizers-v2/,"1,595",1,0,1595,17.97896186,,
4,M3 heat inserts,M3 * 4mm heat inserts,https://quartzcomponents.com/collections/nuts-bolts/products/m3-x-4mm-brass-heat-set-threaded-round-insert-nut-10-pcs,28,1,0,28,0.3156181392,,
5,OLED Screen,"0.91"" OLED Screen",https://quartzcomponents.com/collections/oled/products/0-91-inch-128x32-blue-oled-display-module-with-i2c-iic-serial-interface,110,1,50,160,1.803532224,,
6,Neopixels,SK6812MINI-E,https://www.lcsc.com/product-detail/C5149201.html,6,90,600,1140,12.8501671,14.96931746,(Misc budget)
7,PCB,PCB from JLCPCB,JLCPCB,1934.43,1,2896.33,4830.76,54.45269579,,
8,Raspberry Pi Pico,Orphues Pico,Hack Club HQ,0,1,0,0,0,,
9,Case,3D Printed Case,Printing Legion,0,1,0,0,0,,
Total Price,,,,,,,12051.76,135.8483595,,
,,,,,,,INR,USD,,
,,,,,,,,,,
I will buy,,,,,,,,,,
1,M3 Screws,M3 * 20mm Screws,https://quartzcomponents.com/collections/nuts-bolts/products/m3-x-20mm-csk-phillips-head-ss202-boltpack-of-10,20,1,0,20,0.225441528,,
2,Diodes,1N4148 Through Holes,https://quartzcomponents.com/products/1n4148-zener-diode?variant=42817413546218,2.1,100,0,210,2.367136044,,
3,Capacitors,10uF 0805 SMD Capacitors,https://quartzcomponents.com/products/10uf-10000nf-50v-0805-x7r-smd-capacitor-pack-of-5-pieces?variant=43527004684522,15,20,50,350,3.94522674,,
,,,,,,,580,6.537804312,,
,,,,,,,INR,USD,,
